 TIME                    	GasUsage                 	heating_signal           	setpoint                 	Tin                      	occ                      	
 HOURS              	kJ/hr               	NAV                 	NAV                 	NAV                 	NAV                 	
  +2.3833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.8000000000000000E+01	  +2.3182230386795290E+01	  +1.0000000000000000E+00	
  +2.4000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3196691520108519E+01	  +1.0000000000000000E+00	
  +2.4166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9999999999999986E+01	  +2.3198494988903690E+01	  +1.0000000000000000E+00	
  +2.4333333333333332E+01	  +6.5647058823529398E+04	  +1.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3180832198900116E+01	  +1.0000000000000000E+00	
  +2.4500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.3000000000000000E+01	  +2.3364755824065540E+01	  +1.0000000000000000E+00	
  +2.4666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.0000000000000000E+01	  +2.3488343936418687E+01	  +1.0000000000000000E+00	
  +2.4833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3414644475483197E+01	  +1.0000000000000000E+00	
  +2.5000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3477660358057129E+01	  +1.0000000000000000E+00	
  +2.5166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +3.9999999999999979E+01	  +2.3623022406611383E+01	  +1.0000000000000000E+00	
  +2.5333333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +6.5000000000000000E+01	  +2.3559503338964269E+01	  +1.0000000000000000E+00	
  +2.5500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +7.9000000000000000E+01	  +2.3401884456214724E+01	  +1.0000000000000000E+00	
  +2.5666666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3384173542990759E+01	  +1.0000000000000000E+00	
  +2.5833333333333332E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3321692332294536E+01	  +1.0000000000000000E+00	
  +2.6000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +8.0000000000000000E+01	  +2.3271615066651464E+01	  +1.0000000000000000E+00	
  +2.6166666666666668E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +4.9999999999999993E+01	  +2.3258934325691758E+01	  +1.0000000000000000E+00	
